region;city
Адыгея;Адыгейск
Адыгея;Майкоп
Адыгея;Адыгейск
Адыгея;Майкоп
Башкортостан;Белорецк
Башкортостан;Стерлитамак
Башкортостан;Давлеканово
Башкортостан;Ишимбай
Башкортостан;Бирск
Башкортостан;Благовещенск
Башкортостан;Белебей
Башкортостан;Кумертау
Башкортостан;Октябрьский
Башкортостан;Сибай
Башкортостан;Агидель
Башкортостан;Уфа
Башкортостан;Дюртюли
Башкортостан;Янаул
Башкортостан;Туймазы
Башкортостан;Нефтекамск
Башкортостан;Баймак
Башкортостан;Салават
Башкортостан;Учалы
Башкортостан;Межгорье
Башкортостан;Мелеуз
Бурятия;Улан-Удэ
Бурятия;Северобайкальск
Бурятия;Закаменск
Бурятия;Кяхта
Бурятия;Гусиноозерск
Бурятия;Бабушкин
Алтай;Горно-Алтайск
Дагестан;Кизляр
Дагестан;Дербент
Дагестан;Кизилюрт
Дагестан;Махачкала
Дагестан;Хасавюрт
Дагестан;Дагестанские Огни
Дагестан;Буйнакск
Дагестан;Избербаш
Дагестан;Южно-Сухокумск
Дагестан;Каспийск
Ингушетия;Сунжа
Ингушетия;Карабулак
Ингушетия;Малгобек
Ингушетия;Назрань
Ингушетия;Магас
Кабардино-Балкария;Чегем
Кабардино-Балкария;Майский
Кабардино-Балкария;Тырныауз
Кабардино-Балкария;Нарткала
Кабардино-Балкария;Терек
Кабардино-Балкария;Баксан
Кабардино-Балкария;Прохладный
Кабардино-Балкария;Нальчик
Калмыкия;Лагань
Калмыкия;Городовиковск
Калмыкия;Элиста
Карачаево-Черкессия;Усть-Джегута
Карачаево-Черкессия;Теберда
Карачаево-Черкессия;Карачаевск
Карачаево-Черкессия;Черкесск
Карелия;Костомукша
Карелия;Петрозаводск
Карелия;Сортавала
Карелия;Кемь
Карелия;Медвежьегорск
Карелия;Беломорск
Карелия;Питкяранта
Карелия;Кондопога
Карелия;Олонец
Карелия;Суоярви
Карелия;Сегежа
Карелия;Пудож
Карелия;Лахденпохья
Коми;Воркута
Коми;Сосногорск
Коми;Ухта
Коми;Инта
Коми;Вуктыл
Коми;Сыктывкар
Коми;Печора
Коми;Усинск
Коми;Емва
Коми;Микунь
Марий Эл;Йошкар-Ола
Марий Эл;Козьмодемьянск
Марий Эл;Волжск
Марий Эл;Звенигово
Мордовия;Саранск
Мордовия;Ковылкино
Мордовия;Рузаевка
Мордовия;Ардатов
Мордовия;Инсар
Мордовия;Темников
Мордовия;Краснослободск
Саха (Якутия);Олекминск
Саха (Якутия);Томмот
